10150268.xml	DDI-MedLine.d78.s0	NO_SECTION	NO_SETID	9
11	69	77	B-UNK	analgesic
12	79	83	L-UNK	drugs
NULL

11210678.xml	DDI-MedLine.d67.s4	NO_SECTION	NO_SETID	11
Measurement of nociception was performed within 2 h after benzodiazepine administration.
1	0	10	O	Measurement
2	12	13	O	of
3	15	25	O	nociception
4	27	29	O	was
5	31	39	O	performed
6	41	46	O	within
7	48	48	O	2
8	50	50	O	h
9	52	56	O	after
10	58	71	U-UNK	benzodiazepine
11	73	86	O	administration
NULL

11210678.xml	DDI-MedLine.d67.s5	NO_SECTION	NO_SETID	25
Diazepam at doses of 0.25 mg/kg and 2.5 mg/kg injected with morphine was found to decrease the antinociceptive effect of morphine.
1	0	7	U-UNK	Diazepam
2	9	10	O	at
3	12	16	O	doses
4	18	19	O	of
5	21	24	O	0.25
6	26	27	O	mg
7	28	28	O	/
8	29	30	O	kg
9	32	34	O	and
10	36	38	O	2.5
11	40	41	O	mg
12	42	42	O	/
13	43	44	O	kg
14	46	53	O	injected
15	55	58	O	with
16	60	67	U-UNK	morphine
17	69	71	O	was
18	73	77	O	found
19	79	80	O	to
20	82	89	O	decrease
21	91	93	O	the
22	95	109	O	antinociceptive
23	111	116	O	effect
24	118	119	O	of
25	121	128	U-UNK	morphine
NULL

11210678.xml	DDI-MedLine.d67.s6	NO_SECTION	NO_SETID	17
Similarly, diazepam decreased the antinociceptive effect of metamizol (only in the tail-flick test) and indomethacin.
1	0	8	O	Similarly
2	9	9	O	,
3	11	18	U-UNK	diazepam
4	20	28	O	decreased
5	30	32	O	the
6	34	48	O	antinociceptive
7	50	55	O	effect
8	57	58	O	of
9	60	68	U-UNK	metamizol
10	71	74	O	only
11	76	77	O	in
12	79	81	O	the
13	83	86	O	tail
14	88	92	O	flick
15	94	97	O	test
16	100	102	O	and
17	104	115	U-UNK	indomethacin
NULL

11210678.xml	DDI-MedLine.d67.s7	NO_SECTION	NO_SETID	30
Midazolam used at doses of 1.25 mg/kg and 2.5 mg/kg decreased the antinociceptive effect of morphine, metamizol (only in the tail-flick test) and indomethacin.
1	0	8	U-UNK	Midazolam
2	10	13	O	used
3	15	16	O	at
4	18	22	O	doses
5	24	25	O	of
6	27	30	O	1.25
7	32	33	O	mg
8	34	34	O	/
9	35	36	O	kg
10	38	40	O	and
11	42	44	O	2.5
12	46	47	O	mg
13	48	48	O	/
14	49	50	O	kg
15	52	60	O	decreased
16	62	64	O	the
17	66	80	O	antinociceptive
18	82	87	O	effect
19	89	90	O	of
20	92	99	U-UNK	morphine
21	100	100	O	,
22	102	110	U-UNK	metamizol
23	113	116	O	only
24	118	119	O	in
25	121	123	O	the
26	125	128	O	tail
27	130	134	O	flick
28	136	139	O	test
29	142	144	O	and
30	146	157	U-UNK	indomethacin
NULL

11211460.xml	DDI-MedLine.d64.s0	NO_SECTION	NO_SETID	9
Pharmacological treatment of depression: the role of paroxetine.
1	0	14	O	Pharmacological
2	16	24	O	treatment
3	26	27	O	of
4	29	38	O	depression
5	39	39	O	:
6	41	43	O	the
7	45	48	O	role
8	50	51	O	of
9	53	62	U-UNK	paroxetine
NULL

11211460.xml	DDI-MedLine.d64.s1	NO_SECTION	NO_SETID	9
Depression is reaching epidemic proportions in the western world.
1	0	9	O	Depression
2	11	12	O	is
3	14	21	O	reaching
4	23	30	O	epidemic
5	32	42	O	proportions
6	44	45	O	in
7	47	49	O	the
8	51	57	O	western
9	59	63	O	world
NULL

11211460.xml	DDI-MedLine.d64.s2	NO_SECTION	NO_SETID	15
With each successive generation more people are becoming more severely depressed at a younger age.
1	0	3	O	With
2	5	8	O	each
3	10	19	O	successive
4	21	30	O	generation
5	32	35	O	more
6	37	42	O	people
7	44	46	O	are
8	48	55	O	becoming
9	57	60	O	more
10	62	69	O	severely
11	71	79	O	depressed
12	81	82	O	at
13	84	84	O	a
14	86	92	O	younger
15	94	96	O	age
NULL

11213358.xml	DDI-MedLine.d102.s0	NO_SECTION	NO_SETID	14
Influence of estradiol and progesterone on the sensitivity of rat thoracic aorta to noradrenaline.
1	0	8	O	Influence
2	10	11	O	of
3	13	21	U-UNK	estradiol
4	23	25	O	and
5	27	38	U-UNK	progesterone
6	40	41	O	on
7	43	45	O	the
8	47	57	O	sensitivity
9	59	60	O	of
10	62	64	O	rat
11	66	73	O	thoracic
12	75	79	O	aorta
13	81	82	O	to
14	84	96	U-UNK	noradrenaline
NULL

11213358.xml	DDI-MedLine.d102.s1	NO_SECTION	NO_SETID	30
The aim of this study was to investigate the effects of low and high doses of estradiol, and of progesterone on the response to noradrenaline in rat thoracic aorta.
1	0	2	O	The
2	4	6	O	aim
3	8	9	O	of
4	11	14	O	this
5	16	20	O	study
6	22	24	O	was
7	26	27	O	to
8	29	39	O	investigate
9	41	43	O	the
10	45	51	O	effects
11	53	54	O	of
12	56	58	O	low
13	60	62	O	and
14	64	67	O	high
15	69	73	O	doses
16	75	76	O	of
17	78	86	U-UNK	estradiol
18	87	87	O	,
19	89	91	O	and
20	93	94	O	of
21	96	107	U-UNK	progesterone
22	109	110	O	on
23	112	114	O	the
24	116	123	O	response
25	125	126	O	to
26	128	140	U-UNK	noradrenaline
27	142	143	O	in
28	145	147	O	rat
29	149	156	O	thoracic
30	158	162	O	aorta
NULL

11213358.xml	DDI-MedLine.d102.s2	NO_SECTION	NO_SETID	11
Two weeks after bilateral ovariectomy, female rats received a s.c.
1	0	2	O	Two
2	4	8	O	weeks
3	10	14	O	after
4	16	24	O	bilateral
5	26	36	O	ovariectomy
6	37	37	O	,
7	39	44	O	female
8	46	49	O	rats
9	51	58	O	received
10	60	60	O	a
11	62	64	O	s.c
NULL

11213358.xml	DDI-MedLine.d102.s3	NO_SECTION	NO_SETID	39
injection of vehicle (corn oil, 0.1 mL/day), estradiol (10 microg/kg/day or 4 mg/kg/day) and/or progesterone (20 mg/kg/day), for eight days.
1	0	8	O	injection
2	10	11	O	of
3	13	19	O	vehicle
4	22	25	O	corn
5	27	29	O	oil
6	30	30	O	,
7	32	34	O	0.1
8	36	37	O	mL
9	38	38	O	/
10	39	41	O	day
11	43	43	O	,
12	45	53	U-UNK	estradiol
13	56	57	O	10
14	59	64	O	microg
15	65	65	O	/
16	66	67	O	kg
17	68	68	O	/
18	69	71	O	day
19	73	74	O	or
20	76	76	O	4
21	78	79	O	mg
22	80	80	O	/
23	81	82	O	kg
24	83	83	O	/
25	84	86	O	day
26	89	91	O	and
27	92	92	O	/
28	93	94	O	or
29	96	107	U-UNK	progesterone
30	110	111	O	20
31	113	114	O	mg
32	115	115	O	/
33	116	117	O	kg
34	118	118	O	/
35	119	121	O	day
36	123	123	O	,
37	125	127	O	for
38	129	133	O	eight
39	135	138	O	days
NULL

11213358.xml	DDI-MedLine.d102.s4	NO_SECTION	NO_SETID	27
On the ninth day, the rats were sacrificed and aortic rings, with or without endothelium, were used to generate concentration-response curves to noradrenaline.
1	0	1	O	On
2	3	5	O	the
3	7	11	O	ninth
4	13	15	O	day
5	16	16	O	,
6	18	20	O	the
7	22	25	O	rats
8	27	30	O	were
9	32	41	O	sacrificed
10	43	45	O	and
11	47	52	O	aortic
12	54	58	O	rings
13	59	59	O	,
14	61	64	O	with
15	66	67	O	or
16	69	75	O	without
17	77	87	O	endothelium
18	88	88	O	,
19	90	93	O	were
20	95	98	O	used
21	100	101	O	to
22	103	110	O	generate
23	112	124	O	concentration
24	126	133	O	response
25	135	140	O	curves
26	142	143	O	to
27	145	157	U-UNK	noradrenaline
NULL

11213358.xml	DDI-MedLine.d102.s5	NO_SECTION	NO_SETID	52
Aortic rings with intact endothelium from the high-dose (4 mg/kg/day) estradiol group were supersensitive to noradrenaline compared to the vehicle or low-dose (10 microg/kg/day) estradiol groups (pD2 values = 7.86+/-0.09, 7.30+/-0.11 and 7.35+/-0.04, respectively).
1	0	5	O	Aortic
2	7	11	O	rings
3	13	16	O	with
4	18	23	O	intact
5	25	35	O	endothelium
6	37	40	O	from
7	42	44	O	the
8	46	49	O	high
9	51	54	O	dose
10	57	57	O	4
11	59	60	O	mg
12	61	61	O	/
13	62	63	O	kg
14	64	64	O	/
15	65	67	O	day
16	70	78	U-UNK	estradiol
17	80	84	O	group
18	86	89	O	were
19	91	104	O	supersensitive
20	106	107	O	to
21	109	121	U-UNK	noradrenaline
22	123	130	O	compared
23	132	133	O	to
24	135	137	O	the
25	139	145	O	vehicle
26	147	148	O	or
27	150	152	O	low
28	154	157	O	dose
29	160	161	O	10
30	163	168	O	microg
31	169	169	O	/
32	170	171	O	kg
33	172	172	O	/
34	173	175	O	day
35	178	186	O	estradiol
36	188	193	O	groups
37	196	198	O	pD2
38	200	205	O	values
39	207	207	O	=
40	209	213	O	7.86+
41	214	214	O	/
42	216	219	O	0.09
43	220	220	O	,
44	222	226	O	7.30+
45	227	227	O	/
46	229	232	O	0.11
47	234	236	O	and
48	238	242	O	7.35+
49	243	243	O	/
50	245	248	O	0.04
51	249	249	O	,
52	251	262	O	respectively
NULL

11213358.xml	DDI-MedLine.d102.s6	NO_SECTION	NO_SETID	45
Endothelium-intact aortic rings from high-estradiol rats were supersensitive to noradrenaline when compared to vehicle-, progesterone- and progesterone + high-estradiol-treated rats (pD2 values = 7.77+/-0.12, 7.21+/-0.13, 6.93+/-0.04 and 7.22+/-0.18, respectively).
1	0	10	O	Endothelium
2	12	17	O	intact
3	19	24	O	aortic
4	26	30	O	rings
5	32	35	O	from
6	37	40	O	high
7	42	50	U-UNK	estradiol
8	52	55	O	rats
9	57	60	O	were
10	62	75	O	supersensitive
11	77	78	O	to
12	80	92	U-UNK	noradrenaline
13	94	97	O	when
14	99	106	O	compared
15	108	109	O	to
16	111	117	O	vehicle
17	119	119	O	,
18	121	132	U-UNK	progesterone
19	135	137	O	and
20	139	150	U-UNK	progesterone
21	152	152	O	+
22	154	157	O	high
23	159	167	U-UNK	estradiol
24	169	175	O	treated
25	177	180	O	rats
26	183	185	O	pD2
27	187	192	O	values
28	194	194	O	=
29	196	200	O	7.77+
30	201	201	O	/
31	203	206	O	0.12
32	207	207	O	,
33	209	213	O	7.21+
34	214	214	O	/
35	216	219	O	0.13
36	220	220	O	,
37	222	226	O	6.93+
38	227	227	O	/
39	229	232	O	0.04
40	234	236	O	and
41	238	242	O	7.22+
42	243	243	O	/
43	245	248	O	0.18
44	249	249	O	,
45	251	262	O	respectively
NULL

11213358.xml	DDI-MedLine.d102.s7	NO_SECTION	NO_SETID	16
There were no significant differences among the pD2 values for noradrenaline in aortic rings without endothelium.
1	0	4	O	There
2	6	9	O	were
3	11	12	O	no
4	14	24	O	significant
5	26	36	O	differences
6	38	42	O	among
7	44	46	O	the
8	48	50	O	pD2
9	52	57	O	values
10	59	61	O	for
11	63	75	U-UNK	noradrenaline
12	77	78	O	in
13	80	85	O	aortic
14	87	91	O	rings
15	93	99	O	without
16	101	111	O	endothelium
NULL

11213358.xml	DDI-MedLine.d102.s8	NO_SECTION	NO_SETID	7
Both of these effects were endothelium-dependent.
1	0	3	O	Both
2	5	6	O	of
3	8	12	O	these
4	14	20	O	effects
5	22	25	O	were
6	27	37	O	endothelium
7	39	47	O	dependent
NULL

11213561.xml	DDI-MedLine.d1.s1	NO_SECTION	NO_SETID	32
Since the arrival of oral erection-supporting medication, patients want to know how safe sexual activity is in cardiovascular disease in general and during use of erection-supporting medication in particular.
1	0	4	O	Since
2	6	8	O	the
3	10	16	O	arrival
4	18	19	O	of
5	21	24	O	oral
6	26	33	B-UNK	erection
7	35	44	I-UNK	supporting
8	46	55	L-UNK	medication
9	56	56	O	,
10	58	65	O	patients
11	67	70	O	want
12	72	73	O	to
13	75	78	O	know
14	80	82	O	how
15	84	87	O	safe
16	89	94	O	sexual
17	96	103	O	activity
18	105	106	O	is
19	108	109	O	in
20	111	124	O	cardiovascular
21	126	132	O	disease
22	134	135	O	in
23	137	143	O	general
24	145	147	O	and
25	149	154	O	during
26	156	158	O	use
27	160	161	O	of
28	163	170	B-UNK	erection
29	172	181	I-UNK	supporting
30	183	192	L-UNK	medication
31	194	195	O	in
32	197	206	O	particular
NULL

11213561.xml	DDI-MedLine.d1.s2	NO_SECTION	NO_SETID	32
Sexual intercourse with a steady partner causes no more cardiovascular risk than normal daily activities such as ironing, 2 kilometers of walking without climbing, paperhanging, playing golf or gardening.
1	0	5	O	Sexual
2	7	17	O	intercourse
3	19	22	O	with
4	24	24	O	a
5	26	31	O	steady
6	33	39	O	partner
7	41	46	O	causes
8	48	49	O	no
9	51	54	O	more
10	56	69	O	cardiovascular
11	71	74	O	risk
12	76	79	O	than
13	81	86	O	normal
14	88	92	O	daily
15	94	103	O	activities
16	105	108	O	such
17	110	111	O	as
18	113	119	O	ironing
19	120	120	O	,
20	122	122	O	2
21	124	133	O	kilometers
22	135	136	O	of
23	138	144	O	walking
24	146	152	O	without
25	154	161	O	climbing
26	162	162	O	,
27	164	175	O	paperhanging
28	176	176	O	,
29	178	184	O	playing
30	186	189	O	golf
31	191	192	O	or
32	194	202	O	gardening
NULL

11213561.xml	DDI-MedLine.d1.s3	NO_SECTION	NO_SETID	17
The relative risk of myocardial infarction during sexual activity is not significantly higher than for healthy persons.
1	0	2	O	The
2	4	11	O	relative
3	13	16	O	risk
4	18	19	O	of
5	21	30	O	myocardial
6	32	41	O	infarction
7	43	48	O	during
8	50	55	O	sexual
9	57	64	O	activity
10	66	67	O	is
11	69	71	O	not
12	73	85	O	significantly
13	87	92	O	higher
14	94	97	O	than
15	99	101	O	for
16	103	109	O	healthy
17	111	117	O	persons
NULL

11213561.xml	DDI-MedLine.d1.s4	NO_SECTION	NO_SETID	14
The incidence of cardiovascular morbidity and mortality is not higher among users of sildenafil.
1	0	2	O	The
2	4	12	O	incidence
3	14	15	O	of
4	17	30	O	cardiovascular
5	32	40	O	morbidity
6	42	44	O	and
7	46	54	O	mortality
8	56	57	O	is
9	59	61	O	not
10	63	68	O	higher
11	70	74	O	among
12	76	80	O	users
13	82	83	O	of
14	85	94	U-UNK	sildenafil
NULL

11213561.xml	DDI-MedLine.d1.s5	NO_SECTION	NO_SETID	31
Sildenafil is contraindicated in patients using long-acting nitrates or who may need to use short-acting nitrates, because the combination may cause a sharp fall of the blood pressure.
1	0	9	U-UNK	Sildenafil
2	11	12	O	is
3	14	28	O	contraindicated
4	30	31	O	in
5	33	40	O	patients
6	42	46	O	using
7	48	51	B-UNK	long
8	53	58	I-UNK	acting
9	60	67	L-UNK	nitrates
10	69	70	O	or
11	72	74	O	who
12	76	78	O	may
13	80	83	O	need
14	85	86	O	to
15	88	90	O	use
16	92	96	B-UNK	short
17	98	103	I-UNK	acting
18	105	112	L-UNK	nitrates
19	113	113	O	,
20	115	121	O	because
21	123	125	O	the
22	127	137	O	combination
23	139	141	O	may
24	143	147	O	cause
25	149	149	O	a
26	151	155	O	sharp
27	157	160	O	fall
28	162	163	O	of
29	165	167	O	the
30	169	173	O	blood
31	175	182	O	pressure
NULL

11213561.xml	DDI-MedLine.d1.s6	NO_SECTION	NO_SETID	20
No interactions have been observed with beta-receptor blockers, calcium antagonists, thiazide and loop diuretics and ACE inhibitors.
1	0	1	O	No
2	3	14	O	interactions
3	16	19	O	have
4	21	24	O	been
5	26	33	O	observed
6	35	38	O	with
7	40	43	B-UNK	beta
8	45	52	I-UNK	receptor
9	54	61	L-UNK	blockers
10	62	62	O	,
11	64	70	B-UNK	calcium
12	72	82	L-UNK	antagonists
13	83	83	O	,
14	85	92	B-UNK	thiazide
15	94	96	I-UNK	and
16	98	101	I-UNK	loop
17	103	111	L-UNK	diuretics
18	113	115	O	and
19	117	119	B-UNK	ACE
20	121	130	L-UNK	inhibitors
NULL

11213561.xml	DDI-MedLine.d1.s7	NO_SECTION	NO_SETID	28
Before prescribing a symptomatic (pharmaceutical) treatment for patients with an erection disorder, attention should be given tot the sexological, psychological and medical backgrounds of the disorder.
1	0	5	O	Before
2	7	17	O	prescribing
3	19	19	O	a
4	21	31	O	symptomatic
5	34	47	O	pharmaceutical
6	50	58	O	treatment
7	60	62	O	for
8	64	71	O	patients
9	73	76	O	with
10	78	79	O	an
11	81	88	O	erection
12	90	97	O	disorder
13	98	98	O	,
14	100	108	O	attention
15	110	115	O	should
16	117	118	O	be
17	120	124	O	given
18	126	128	O	tot
19	130	132	O	the
20	134	144	O	sexological
21	145	145	O	,
22	147	159	O	psychological
23	161	163	O	and
24	165	171	O	medical
25	173	183	O	backgrounds
26	185	186	O	of
27	188	190	O	the
28	192	199	O	disorder
NULL

11213561.xml	DDI-MedLine.d1.s8	NO_SECTION	NO_SETID	41
Secondary prevention of atherosclerotic risk factors is also important: regulation of blood pressure and blood sugar level, hyperlipidaemia and obesity, as well as a change of lifestyle (giving up smoking, adapting of diet and more physical exertion).
1	0	8	O	Secondary
2	10	19	O	prevention
3	21	22	O	of
4	24	38	O	atherosclerotic
5	40	43	O	risk
6	45	51	O	factors
7	53	54	O	is
8	56	59	O	also
9	61	69	O	important
10	70	70	O	:
11	72	81	O	regulation
12	83	84	O	of
13	86	90	O	blood
14	92	99	O	pressure
15	101	103	O	and
16	105	109	O	blood
17	111	115	O	sugar
18	117	121	O	level
19	122	122	O	,
20	124	138	O	hyperlipidaemia
21	140	142	O	and
22	144	150	O	obesity
23	151	151	O	,
24	153	154	O	as
25	156	159	O	well
26	161	162	O	as
27	164	164	O	a
28	166	171	O	change
29	173	174	O	of
30	176	184	O	lifestyle
31	187	192	O	giving
32	194	195	O	up
33	197	203	O	smoking
34	204	204	O	,
35	206	213	O	adapting
36	215	216	O	of
37	218	221	O	diet
38	223	225	O	and
39	227	230	O	more
40	232	239	O	physical
41	241	248	O	exertion
NULL

11213561.xml	DDI-MedLine.d1.s9	NO_SECTION	NO_SETID	18
Patients with a very low cardiac capacity should be advised to refrain from treatment of the erection disorder.
1	0	7	O	Patients
2	9	12	O	with
3	14	14	O	a
4	16	19	O	very
5	21	23	O	low
6	25	31	O	cardiac
7	33	40	O	capacity
8	42	47	O	should
9	49	50	O	be
10	52	58	O	advised
11	60	61	O	to
12	63	69	O	refrain
13	71	74	O	from
14	76	84	O	treatment
15	86	87	O	of
16	89	91	O	the
17	93	100	O	erection
18	102	109	O	disorder
NULL

11213850.xml	DDI-MedLine.d46.s0	NO_SECTION	NO_SETID	14
Influence of coadministration of fluoxetine on cisapride pharmacokinetics and QTc intervals in healthy volunteers.
1	0	8	O	Influence
2	10	11	O	of
3	13	28	O	coadministration
4	30	31	O	of
5	33	42	U-UNK	fluoxetine
6	44	45	O	on
7	47	55	U-UNK	cisapride
8	57	72	O	pharmacokinetics
9	74	76	O	and
10	78	80	O	QTc
11	82	90	O	intervals
12	92	93	O	in
13	95	101	O	healthy
14	103	112	O	volunteers
NULL

11213850.xml	DDI-MedLine.d46.s1	NO_SECTION	NO_SETID	23
STUDY OBJECTIVE: To evaluate the effect of fluoxetine on the pharmacokinetics and cardiovascular safety of cisapride at steady state in healthy men.
1	0	4	O	STUDY
2	6	14	O	OBJECTIVE
3	15	15	O	:
4	17	18	O	To
5	20	27	O	evaluate
6	29	31	O	the
7	33	38	O	effect
8	40	41	O	of
9	43	52	U-UNK	fluoxetine
10	54	55	O	on
11	57	59	O	the
12	61	76	O	pharmacokinetics
13	78	80	O	and
14	82	95	O	cardiovascular
15	97	102	O	safety
16	104	105	O	of
17	107	115	U-UNK	cisapride
18	117	118	O	at
19	120	125	O	steady
20	127	131	O	state
21	133	134	O	in
22	136	142	O	healthy
23	144	146	O	men
NULL

11213850.xml	DDI-MedLine.d46.s2	NO_SECTION	NO_SETID	10
DESIGN: Open-label, three-phase, sequential study.
1	0	5	O	DESIGN
2	6	6	O	:
3	8	11	O	Open
4	13	17	O	label
5	18	18	O	,
6	20	24	O	three
7	26	30	O	phase
8	31	31	O	,
9	33	42	O	sequential
10	44	48	O	study
NULL

11213850.xml	DDI-MedLine.d46.s3	NO_SECTION	NO_SETID	5
SETTING: Clinical research center.
1	0	6	O	SETTING
2	7	7	O	:
3	9	16	O	Clinical
4	18	25	O	research
5	27	32	O	center
NULL

11213850.xml	DDI-MedLine.d46.s4	NO_SECTION	NO_SETID	4
SUBJECTS:Twelve healthy male volunteers.
1	0	14	O	SUBJECTS:Twelve
2	16	22	O	healthy
3	24	27	O	male
4	29	38	O	volunteers
NULL

11213850.xml	DDI-MedLine.d46.s5	NO_SECTION	NO_SETID	13
INTERVENTIONS: Each subject was treated according to the following sequence: baseline;
1	0	12	O	INTERVENTIONS
2	13	13	O	:
3	15	18	O	Each
4	20	26	O	subject
5	28	30	O	was
6	32	38	O	treated
7	40	48	O	according
8	50	51	O	to
9	53	55	O	the
10	57	65	O	following
11	67	74	O	sequence
12	75	75	O	:
13	77	84	O	baseline
NULL

11213850.xml	DDI-MedLine.d46.s6	NO_SECTION	NO_SETID	13
phase 1 (days 1-6): cisapride 10 mg 4 times/day;
1	0	4	O	phase
2	6	6	O	1
3	9	12	O	days
4	14	14	O	1
5	16	16	O	6
6	18	18	O	:
7	20	28	U-UNK	cisapride
8	30	31	O	10
9	33	34	O	mg
10	36	36	O	4
11	38	42	O	times
12	43	43	O	/
13	44	46	O	day
NULL

11213850.xml	DDI-MedLine.d46.s7	NO_SECTION	NO_SETID	4
washout (days 7-13);
1	0	6	O	washout
2	9	12	O	days
3	14	14	O	7
4	16	17	O	13
NULL

11213850.xml	DDI-MedLine.d46.s8	NO_SECTION	NO_SETID	11
phase 2 (days 14-44): fluoxetine 20 mg/day;
1	0	4	O	phase
2	6	6	O	2
3	9	12	O	days
4	14	15	O	14
5	17	18	O	44
6	20	20	O	:
7	22	31	U-UNK	fluoxetine
8	33	34	O	20
9	36	37	O	mg
10	38	38	O	/
11	39	41	O	day
NULL

11213850.xml	DDI-MedLine.d46.s9	NO_SECTION	NO_SETID	26
and phase 3 (days 45-52): cisapride 10 mg 4 times/day (days 45-51) plus fluoxetine 20 mg/day (days 45-52).
1	0	2	O	and
2	4	8	O	phase
3	10	10	O	3
4	13	16	O	days
5	18	19	O	45
6	21	22	O	52
7	24	24	O	:
8	26	34	U-UNK	cisapride
9	36	37	O	10
10	39	40	O	mg
11	42	42	O	4
12	44	48	O	times
13	49	49	O	/
14	50	52	O	day
15	55	58	O	days
16	60	61	O	45
17	63	64	O	51
18	67	70	O	plus
19	72	81	U-UNK	fluoxetine
20	83	84	O	20
21	86	87	O	mg
22	88	88	O	/
23	89	91	O	day
24	94	97	O	days
25	99	100	O	45
26	102	103	O	52
NULL

11213850.xml	DDI-MedLine.d46.s10	NO_SECTION	NO_SETID	30
MEASUREMENTS and MAIN RESULTS: Blood samples were drawn and 12-lead electrocardiograms performed at specified time points after the last morning dose of cisapride in phases 1 and 3.
1	0	11	O	MEASUREMENTS
2	13	15	O	and
3	17	20	O	MAIN
4	22	28	O	RESULTS
5	29	29	O	:
6	31	35	O	Blood
7	37	43	O	samples
8	45	48	O	were
9	50	54	O	drawn
10	56	58	O	and
11	60	61	O	12
12	63	66	O	lead
13	68	85	O	electrocardiograms
14	87	95	O	performed
15	97	98	O	at
16	100	108	O	specified
17	110	113	O	time
18	115	120	O	points
19	122	126	O	after
20	128	130	O	the
21	132	135	O	last
22	137	143	O	morning
23	145	148	O	dose
24	150	151	O	of
25	153	161	U-UNK	cisapride
26	163	164	O	in
27	166	171	O	phases
28	173	173	O	1
29	175	177	O	and
30	179	179	O	3
NULL

11213850.xml	DDI-MedLine.d46.s11	NO_SECTION	NO_SETID	22
Blood samples also were taken before morning doses on the 3rd, 4th, and 5th days of phases 1 and 3.
1	0	4	O	Blood
2	6	12	O	samples
3	14	17	O	also
4	19	22	O	were
5	24	28	O	taken
6	30	35	O	before
7	37	43	O	morning
8	45	49	O	doses
9	51	52	O	on
10	54	56	O	the
11	58	60	O	3rd
12	61	61	O	,
13	63	65	O	4th
14	66	66	O	,
15	68	70	O	and
16	72	74	O	5th
17	76	79	O	days
18	81	82	O	of
19	84	89	O	phases
20	91	91	O	1
21	93	95	O	and
22	97	97	O	3
NULL

11213850.xml	DDI-MedLine.d46.s12	NO_SECTION	NO_SETID	17
Electrocardiograms were done at baseline and on the last day of the washout period and phase 2.
1	0	17	O	Electrocardiograms
2	19	22	O	were
3	24	27	O	done
4	29	30	O	at
5	32	39	O	baseline
6	41	43	O	and
7	45	46	O	on
8	48	50	O	the
9	52	55	O	last
10	57	59	O	day
11	61	62	O	of
12	64	66	O	the
13	68	74	O	washout
14	76	81	O	period
15	83	85	O	and
16	87	91	O	phase
17	93	93	O	2
NULL

11213850.xml	DDI-MedLine.d46.s13	NO_SECTION	NO_SETID	8
Coadministration of fluoxetine significantly decreased cisapride plasma concentrations.
1	0	15	O	Coadministration
2	17	18	O	of
3	20	29	U-UNK	fluoxetine
4	31	43	O	significantly
5	45	53	O	decreased
6	55	63	U-UNK	cisapride
7	65	70	O	plasma
8	72	85	O	concentrations
NULL

11213850.xml	DDI-MedLine.d46.s14	NO_SECTION	NO_SETID	18
There were no clinically significant changes in corrected QT intervals during administration of cisapride alone or with fluoxetine.
1	0	4	O	There
2	6	9	O	were
3	11	12	O	no
4	14	23	O	clinically
5	25	35	O	significant
6	37	43	O	changes
7	45	46	O	in
8	48	56	O	corrected
9	58	59	O	QT
10	61	69	O	intervals
11	71	76	O	during
12	78	91	O	administration
13	93	94	O	of
14	96	104	U-UNK	cisapride
15	106	110	O	alone
16	112	113	O	or
17	115	118	O	with
18	120	129	U-UNK	fluoxetine
NULL

11213850.xml	DDI-MedLine.d46.s15	NO_SECTION	NO_SETID	10
Cisapride was well tolerated when administered alone or with fluoxetine.
1	0	8	U-UNK	Cisapride
2	10	12	O	was
3	14	17	O	well
4	19	27	O	tolerated
5	29	32	O	when
6	34	45	O	administered
7	47	51	O	alone
8	53	54	O	or
9	56	59	O	with
10	61	70	U-UNK	fluoxetine
NULL

11213850.xml	DDI-MedLine.d46.s16	NO_SECTION	NO_SETID	15
CONCLUSION: Cisapride can be administered safely to patients receiving low therapeutic dosages of fluoxetine.
1	0	9	O	CONCLUSION
2	10	10	O	:
3	12	20	U-UNK	Cisapride
4	22	24	O	can
5	26	27	O	be
6	29	40	O	administered
7	42	47	O	safely
8	49	50	O	to
9	52	59	O	patients
10	61	69	O	receiving
11	71	73	O	low
12	75	85	O	therapeutic
13	87	93	O	dosages
14	95	96	O	of
15	98	107	U-UNK	fluoxetine
NULL

11217867.xml	DDI-MedLine.d83.s0	NO_SECTION	NO_SETID	13
Olanzapine: an updated review of its use in the management of schizophrenia.
1	0	9	U-UNK	Olanzapine
2	10	10	O	:
3	12	13	O	an
4	15	21	O	updated
5	23	28	O	review
6	30	31	O	of
7	33	35	O	its
8	37	39	O	use
9	41	42	O	in
10	44	46	O	the
11	48	57	O	management
12	59	60	O	of
13	62	74	O	schizophrenia
NULL

11217867.xml	DDI-MedLine.d83.s1	NO_SECTION	NO_SETID	25
Olanzapine, a thienobenzodiazepine derivative, is a second generation (atypical) antipsychotic agent which has proven efficacy against the positive and negative symptoms of schizophrenia.
1	0	9	U-UNK	Olanzapine
2	10	10	O	,
3	12	12	O	a
4	14	33	B-UNK	thienobenzodiazepine
5	35	44	L-UNK	derivative
6	45	45	O	,
7	47	48	O	is
8	50	50	O	a
9	52	57	B-UNK	second
10	59	68	I-UNK	generation
11	71	78	I-UNK	atypical
12	81	93	I-UNK	antipsychotic
13	95	99	L-UNK	agent
14	101	105	O	which
15	107	109	O	has
16	111	116	O	proven
17	118	125	O	efficacy
18	127	133	O	against
19	135	137	O	the
20	139	146	O	positive
21	148	150	O	and
22	152	159	O	negative
23	161	168	O	symptoms
24	170	171	O	of
25	173	185	O	schizophrenia
NULL

